Entry,Ligand number,Ligand info link in the bddb,Structure of ligand,,,
O43464,ligand-1,Ki Summary (bindingdb.org),SID 461599128 - PubChem (nih.gov),,,
O43464,ligand-2,Ki Summary (bindingdb.org),SID 461599126 - PubChem (nih.gov),,,
O43464,ligand-3,Ki Summary (bindingdb.org),SID 461599119 - PubChem (nih.gov),,,
O43464,ligand-4,Ki Summary (bindingdb.org),SID 461599120 - PubChem (nih.gov),,,
O43464,ligand-5,Ki Summary (bindingdb.org),SID 461599130 - PubChem (nih.gov),,,
O43464,ligand-6,Ki Summary (bindingdb.org),SID 461599129 - PubChem (nih.gov),,,
O43464,ligand-7,Ki Summary (bindingdb.org),SID 461599134 - PubChem (nih.gov),,,
O43464,ligand-8,Ki Summary (bindingdb.org),SID 461599132 - PubChem (nih.gov),,,
O43464,ligand-9,Ki Summary (bindingdb.org),SID 461599122 - PubChem (nih.gov),,,
O43464,ligand-10,Ki Summary (bindingdb.org),SID 461599124 - PubChem (nih.gov),,,
P16615,Ligand-p1,Ki Summary (bindingdb.org),SID 440735653 - PubChem (nih.gov),,,
P16615,Ligand-p2,Ki Summary (bindingdb.org),SID 433922123 - PubChem (nih.gov),,,
P16615,Ligand-p3,Ki Summary (bindingdb.org),SID 433922124 - PubChem (nih.gov),,,
P16615,Ligand-p4,Ki Summary (bindingdb.org),SID 336952476 - PubChem (nih.gov),,,
P16615,Ligand-p5,Ki Summary (bindingdb.org),SID 440735650 - PubChem (nih.gov),,,
P16615,Ligand-p6,Ki Summary (bindingdb.org),SID 440735645 - PubChem (nih.gov),,,
P16615,Ligand-p7,Ki Summary (bindingdb.org),SID 363893406 - PubChem (nih.gov),,,
P16615,Ligand-p8,Ki Summary (bindingdb.org),SID 242053155 - PubChem (nih.gov),,,
P16615,Ligand-p9,Ki Summary (bindingdb.org),SID 336952476 - PubChem (nih.gov),,,
P49810,Ligand-p01,Ki Summary (bindingdb.org),SID 104069621 - PubChem (nih.gov),,,
P49810,Ligand-p02,Ki Summary (bindingdb.org),SID 104069627 - PubChem (nih.gov),,,
P49810,Ligand-p03,Ki Summary (bindingdb.org),SID 104069628 - PubChem (nih.gov),,,
P49810,Ligand-p04,Ki Summary (bindingdb.org),SID 163359203 - PubChem (nih.gov),,,
P49810,Ligand-p05,Ki Summary (bindingdb.org),SID 104069624 - PubChem (nih.gov),,,
P49810,Ligand-p06,Ki Summary (bindingdb.org),SID 104025934 - PubChem (nih.gov),,,
P49810,Ligand-p07,Ki Summary (bindingdb.org),SID 104069631 - PubChem (nih.gov),,,
P49810,Ligand-p08,Ki Summary (bindingdb.org),SID 104069622 - PubChem (nih.gov),,,
P49810,Ligand-p09,Ki Summary (bindingdb.org),SID 104025948 - PubChem (nih.gov),,,
P49810,Ligand-p010,Ki Summary (bindingdb.org),SID 104069630 - PubChem (nih.gov),,,
P53816,Ligand-P1,Ki Summary (bindingdb.org),SID 442146158 - PubChem (nih.gov),,,
P53816,Ligand-P2,Ki Summary (bindingdb.org),SID 442146139 - PubChem (nih.gov),,,
P53816,Ligand-P3,Ki Summary (bindingdb.org),SID 442146146 - PubChem (nih.gov),,,
P53816,Ligand-P4,Ki Summary (bindingdb.org),SID 442146150 - PubChem (nih.gov),,,
P53816,Ligand-P5,Ki Summary (bindingdb.org),SID 442146157 - PubChem (nih.gov),,,
P53816,Ligand-P6,Ki Summary (bindingdb.org),SID 442146151 - PubChem (nih.gov),,,
